ステージ10導入ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,跡部透,"次はこちらのお部屋です…
あと一つですから、がんばりましょう！",,,,2,跡部透,74,,,,,,,洋館（桃の部屋）,27,IN
2クリック目,灰原哀,(…工藤君…さっきから…あなた、様子が変じゃない？),,,,,非表示,0,4,灰原哀,9,,,,,,
3クリック目,江戸川コナン,"あぁ…灰原か…
…キッドだよ…キッドがおっちゃんに化けてんだ…",,,,9,江戸川コナン,3,,,,,,,,,
4クリック目,灰原哀,…！,,,,,,,11,灰原哀,9,,,,,,
5クリック目,灰原哀,…さっき言ってた、お酒をあまり飲んでいないってことで、わかったの？,,,,,,,,,,,,,,,
6クリック目,江戸川コナン,"……あぁ、始めは、おっちゃんにしては、酒飲んでねーなって思ったんだけど…
気になってちょっと調べてみたんだ…",,,,,,,,,,,,,,,
7クリック目,灰原哀,…調べたって…何を…？,,,,,,,,,,,,,,,
8クリック目,江戸川コナン,"トイレさ…おっちゃんと入れ替わることができるとしたら、
オレたちから離れておっちゃんが一人になったトイレだけ！",,,,15,江戸川コナン,3,,,,,,,,,
9クリック目,江戸川コナン,…さっき、調べに行ったら、おっちゃんがトイレで眠ってたぜ…,,,,,,,,,,,,,,,
10クリック目,吉田歩美,"…コナン君！哀ちゃん！ちょっと暗号難しいみたい…
ねぇ、あっちで一緒に考えて！",10,吉田歩美,12,,,,,,,,,,,,
11クリック目,江戸川コナン,…あ、あぁ…,,,,10,江戸川コナン,3,,,,,,,,,
