ステージ７導入ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,鈴木園子,次は応接間よ！さぁ！ガキんちょたち！早く入った入った！,,,,2,鈴木園子,13,,,,,,,洋館（青の部屋）,26,IN
2クリック目,小嶋元太,なー…あと宝石は何個あるんだ？,5,小嶋元太,17,,,,,,,,,,,,
3クリック目,円谷光彦,今6つ見つけたところですから、あと4つですね！,,,,,,,1,円谷光彦,15,,,,,,
4クリック目,小嶋元太,…オレ、腹減っちまってよー…　ちょっと休憩してメシ食わねーか？,,,,,,,,,,,,,,,
5クリック目,吉田歩美,"ダメだよ元太君！この宝石キッドが狙ってるんだよ？
先に見つけられちゃうよ…",,,,10,吉田歩美,12,,,,,,,,,
6クリック目,円谷光彦,歩美ちゃんの言う通りですよ！早く探しましょう！,,,,,,,2,円谷光彦,15,,,,,,
7クリック目,毛利蘭,あ！コナン君！こんなところにいた…,1,毛利蘭,8,10,江戸川コナン,3,,非表示,0,,,,,,
8クリック目,江戸川コナン,ら、蘭姉ちゃん…,,,,,,,,,,,,,,,
9クリック目,毛利蘭,トイレに行くんじゃなかったの？,,,,,,,,,,,,,,,
10クリック目,江戸川コナン,う、うん…ま、迷っちゃって！,,,,5,江戸川コナン,3,,,,,,,,,
11クリック目,毛利蘭,"あ、お父さん！コナン君がトイレに行きたいんだって！
お父さんここについた時トイレ行ってたよね？連れてってあげてくれない？",12,毛利蘭,8,,,,,,,,,,,,
12クリック目,毛利小五郎,…俺が～？,,,,,,,11,毛利小五郎,4,,,,,,
13クリック目,江戸川コナン,"あ、大丈夫！トイレはもう行って来たから！
皆のところに戻ろう！
ねぇ、おじさんも一緒に行こうよ！",,,,3,江戸川コナン,3,,,,,,,,,
14クリック目,毛利小五郎,……ん？よし！この名探偵がいっちょ探してやるか！,,,,,,,1,毛利小五郎,4,,,,,,
