ステージ１導入ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,遠山和葉,警部さん！小金原さんについて話があんねん！,,,,1,遠山和葉,11,,,,小金原周蔵,10004,右,旧公家屋敷の日本間,28,IN
2クリック目,綾小路文麿,小金原…古美術店主の？,1,綾小路文麿,36,,,,,,,,,,,,
3クリック目,遠山和葉,"アタシな、京都に家が骨董屋さんをやってる知り合いがおんねん！
だから、よそのお店の評判を聞いてみたんやけど…",,,,,,,,,,,,右：非表示,,,
4クリック目,遠山和葉,"そしたら、その小金原さんってお店は、最近商売がうまい事いってなくて、
お金に困ってるらしいって噂やってん…",,,,,,,,,,,,,,,
5クリック目,毛利小五郎,なに？…あのオヤジ、そんな事は一言も言ってなかったぞ…,7,毛利小五郎,4,,,,,,,,,,,,
6クリック目,遠山和葉,"それがな、最近ごっつい掘り出し物を見っけたらしくて、それさえ手に入れて
売れれば、お店が助かるって言ってたらしいんよ…",,,,,,,,,,,,,,,
7クリック目,毛利蘭,掘り出し物…？,,,,,,,7,毛利蘭,8,,,,,,
8クリック目,遠山和葉,それが鷹梨さんの家に代々伝わる、『比翼之鳥図』っていう屏風絵とかなんとか…,,,,,,,,,,,,,,,
9クリック目,鷹梨路子,あ、それです！父が大切にしていた鳥の絵が描いてある屏風絵！,,,,,,,1,鷹梨路子,78,,,,,,
10クリック目,遠山和葉,"あ、やっぱそうなん？「その家の旦那さんが、それだけは絶対に売らんて言って困っとる」って
愚痴をこぼしとったみたいなんよ…",,,,,,,,,,,,,,,
,毛利小五郎,諦められないくらい良い物ってことか？,11,毛利小五郎,4,,,,,,,,,,,,
11クリック目,遠山和葉,"そうみたい！それで、どんな手を使こうても手に入れてやるんやって、えらい執念で
言うとったって…",,,,,,,,,,,,,,,
12クリック目,毛利小五郎,"そうか…そんな裏事情があったのか…
これは、ひょっとすると…鷹梨家の家宝を狙ってあの小金原が…",7,毛利小五郎,4,,,,,,,,,,,,
13クリック目,遠山和葉,そこまでは…わからへんけど…,,,,,,,,,,,,,,,
14クリック目,服部平次,和葉、おまえにしてはようやったな！結構有益な情報やで！,,,,,,,2,服部平次,5,,,,,,
15クリック目,遠山和葉,"へ、平次……
平次が大滝ハン呼びつけとる間に私も思い出して電話しただけやで！",,,,,,,,,,,,,,,
,,,,非表示,0,,非表示,0,,非表示,0,,,,,,
16クリック目,江戸川コナン,"（絵を狙っての犯行…
　うーん…そういう動機も考えられるか…？）",15,江戸川コナン,3,,,,,,,,,,,,
