【第3回】 9月レイドイベント,,,
事件名,京都公家屋敷殺人事件,,
目的(ユーザーの動き),殺害された名家の当主の殺害方法を解き明かし、そこから真犯人を突き止める,,
依頼者,鷹梨路子,,
被害者,鷹梨道明,,
犯人名,瀬川幸治,,
はずれ容疑者①,小金原周蔵,,
はずれ容疑者②,権田研二,,
捜査現場（物探し）,旧公家屋敷の日本間,,
概要,"旧公家の当主が自邸の古井戸の中で溺死体となって発見された。当日に被害者と面会する予定のあった人物は
3人いたが、目撃している第三者はいない。現場や遺体に残された痕跡や物証、探索で得られる証言から、殺害の
方法とそれをなしえた真犯人を推理してゆく。
犯人は被害者も存在を知らなかったかつての恋人との間に生まれた息子である。",,
正解アイテム,ロープ,,
はずれアイテム,はしご、桶、盆栽、お酒のビン、ほうき、カエル、みかん、カタツムリ、扇子、てるてる坊主,,
正解動機,恨みを晴らすため,,
はずれ動機①,口封じのため,,
はずれ動機②,遺産を手に入れるため,,
エンディング形式,追い詰められた犯人の自白,,
エンディング要約,"本当の殺害場所の井戸に残された、ロープ痕と、特殊な結び方をしたロープから、ロッククライミングを趣味とするカメラマンの瀬川が疑われる。
証拠はあるのかと抵抗するが、持っていた愛用のカメラのストラップに、転落時に強く握った被害者の手の血液が付着していることを指摘され、観念する。
最初から殺すつもりはなく詫びて欲しかっただけだと、後悔の涙を流す犯人。",,
登場人物,"【原作キャラクター】
江戸川コナン、毛利蘭、毛利小五郎、服部平次、遠山和葉、大滝悟郎、綾小路文麿、白鳥任三郎
【イベント専用オリジナルキャラクター】
鷹梨路子、鷹梨道明、瀬川幸治、小金原周蔵、権田研二、花岡みどり",,
証言数,毛利蘭,,4
,遠山和葉,,4
,綾小路文磨,,4
,小金原,,4
,大滝,,5
,瀬川,,6
,白鳥,,5
,権田,,5
,服部平次,,6
