エンディングストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,綾小路文麿,毛利はん…いったいどういうことです？急に皆を部屋に集めて…,7,綾小路文麿,36,,,,,,,,,,旧公家屋敷の日本間,28,IN
2クリック目,毛利小五郎,"それは、綾小路警部…もちろん、わかったからですよ…
道明さんを井戸に突き落し、殺害した犯人がね！",,,,16,毛利小五郎,4,,,,,,,,,
3クリック目,鷹梨路子,ほ、本当ですか？毛利さん…！？,5,鷹梨路子,78,,,,,,,,,,,,
4クリック目,江戸川コナン,"はい…
それは…あなたですよ、瀬川幸治さん！",,,,16,江戸川コナン,3,,,,,,,,,
5クリック目,瀬川幸治,な…なにを言ってるんですか、毛利さん！？…どうして、ボクが…！？,,,,5,瀬川幸治,79,,,,,,,,,
6クリック目,毛利小五郎,おそらく、あなたは道明さんと揉み合いになり、思わずそこの井戸に彼を突き飛ばしてしまった…,,,,16,毛利小五郎,4,,,,,,,,,
7クリック目,江戸川コナン,といっても、あなたには最初から殺すつもりはなかったのかもしれませんが…,,,,16,江戸川コナン,3,,,,,,,,,
8クリック目,服部平次,"この、使こうてないはずの井戸の縁に、擦れた跡がぎょうさんついとる…
それも新しい跡ばかりや…",,非表示,0,5,瀬川幸治,79,7,服部平次,5,,,,,,
9クリック目,服部平次,これは、誰かがロープを使って井戸の中に下りようとしたときについた跡やないかと考えたんや！,,,,,,,,,,,,,,,
10クリック目,服部平次,"しかし、この井戸…和葉も言うとったけど深いし狭い…
降りても戻って来られへんかもしれんこの井戸にロープ１本で降りるには普通の人なら結構勇気いる事やで！",,,,,,,,,,,,,,,
11クリック目,毛利小五郎,"そう…瀬川さん、あなたはロッククライミングの上級者だ…
ならば、このロープで井戸の底に降りる事なんて雑作もない事でしょう…",,,,16,毛利小五郎,4,,,,ロープ,464,左,,,
12クリック目,瀬川幸治,"そ…それは…！ちょっと待ってくださいよ毛利さん！確かに僕にはそういう技術はある…
でも、ロープで井戸の底に降りる事なんて、少し握力があれば、誰でも出来る事なのでは？",,,,1,瀬川幸治,79,,非表示,0,,,,,,
