ステージ１0導入ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,沖野ヨーコ,"いよいよ、最後のステージです！
もうひとふんばり、がんばって探しましょう！！",,,,2,沖野ヨーコ,21,,,,,,,遊園地,29,IN
2クリック目,毛利小五郎,フフフ…ヨーコちゃんとチューするのは、もうこのオレ様に決まったようなものだがな！,,,,2,毛利小五郎,4,,,,,,,,,
3クリック目,小嶋元太,い～や、オレ達少年探偵団がぜってー優勝するぞ！,7,小嶋元太,17,,,,,,,,,,,,
4クリック目,吉田歩美,そうだよ！絶対、負けないもん！,,,,,,,9,吉田歩美,12,,,,,,
5クリック目,円谷光彦,ボク達の底力、見せてあげますよ！,4,円谷光彦,15,,,,,,,,,,,,
6クリック目,毛利小五郎,"今日の勝負は、懸っているものの重さが違うのだ…
子供とはいえ、手加減しないぞ！",,,,9,毛利小五郎,4,,,,,,,,,
7クリック目,江戸川コナン,（最初から手加減してねぇだろ…）,,,,,,,11,江戸川コナン,3,,,,,,
8クリック目,灰原哀,最終対決ね…まあ、がんばって…,2,灰原哀,9,,,,,,,,,,,,
9クリック目,西園雄二,"ここまでのトップは毛利探偵ですが、わずかな差で少年探偵団チームがつけています！
…決着は最終ステージへ！！",1,西園雄二,85,,,,,,,,,,,,
10クリック目,沖野ヨーコ,"みんな準備はいい？
それじゃ最終ステージ、レディ～ゴーっ！",,,,2,沖野ヨーコ,21,,,,,,,,,
