エンディングストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,毛利小五郎,うぅうう…ヨーコちゃぁん…,,,,7,毛利小五郎,4,,,,,,,研究所,10,IN
2クリック目,毛利蘭,"もぉ、お父さんたら！いつまで落ち込んでるのよ！
未練たらしいんだから…",9,毛利蘭,8,,,,,,,,,,,,
3クリック目,小嶋元太,静かに見てろよ～、これからいいところなんだから！,,,,,,,1,小嶋元太,17,,,,,,
4クリック目,吉田歩美,そうだよ！もうすぐわたしたちの大活躍が始まるんだから！,,,,1,吉田歩美,12,,,,,,,,,
5クリック目,円谷光彦,"二人とも落ち着いてください！ボク達の活躍は、この後のCMが終わってからですよ！
あと90秒くらいです！",1,円谷光彦,15,,,,,,,,,,,,
6クリック目,灰原哀,あら、今日はずいぶんと賑やかね…,,,,2,灰原哀,9,,,,,,,,,
7クリック目,毛利蘭,"あ、哀ちゃん！こんばんわ！
ごめんね、うるさくて…",1,毛利蘭,8,,,,,,,,,,,,
8クリック目,阿笠博士,"今日は例のドラマの放送日じゃからの！
せっかくじゃから、研究所でみんなで観よう、ということになったんじゃよ！",,,,,,,1,阿笠博士,6,,,,,,
9クリック目,灰原哀,そう…あのドラマの放送、今日だったの…,,,,,,,,,,,,,,,
10クリック目,吉田歩美,"哀ちゃんも出れば良かったのに…
撮影楽しかったよ！",,,,1,吉田歩美,12,,,,,,,,,
11クリック目,灰原哀,"ドラマなんて、興味なかったもの…
それで…みんなはどんな役で出てるわけ？",,,,11,灰原哀,9,,,,,,,,,
12クリック目,江戸川コナン,（なんだかんだ言って見るのかよ…興味津々じゃねーか…）,,,,,,,1,江戸川コナン,3,,,,,,
13クリック目,毛利蘭,"コナン君達は、沖野ヨーコ刑事のピンチを救う少年探偵って役なの！
なかなかの名演技してるわよ！",2,毛利蘭,8,,,,,,,,,,,,
14クリック目,灰原哀,ふぅん…そのまま少年探偵団の役なのね…,,,,2,灰原哀,9,,,,,,,,,
15クリック目,毛利小五郎,"あぁああああっ！
こいつら、今ヨーコちゃんに、ち、チュ、チュ、チューしてもらったぞ！",,,,10,毛利小五郎,4,,,,,,,,,
16クリック目,毛利蘭,"落ち着いてよお父さん！
キスったって、ほっぺにじゃない…",9,毛利蘭,8,,,,,,,,,,,,
17クリック目,阿笠博士,はっはっはっ、男の子たち三人とも顔が真っ赤じゃな！,,,,,,,1,阿笠博士,6,,,,,,
18クリック目,江戸川コナン,そ、そんなことないよ…！,,,,,,,22,江戸川コナン,3,,,,,,
19クリック目,毛利小五郎,"ぐわぁあああっ！
ほんとなら、この俺が…毛利小五郎があの役だったのにぃ～っ！",,,,,,,,,,,,,,,
20クリック目,灰原哀,部屋に戻るわ…,,,,5,灰原哀,9,,,,,,,,,
21クリック目,阿笠博士,ん？哀君、彼らの活躍を最後まで見ていかんのか？,,,,,,,1,阿笠博士,6,,,,,,
22クリック目,灰原哀,最初から興味ないもの…,,,,,,,,,,,,,,,
23クリック目,江戸川コナン,灰原…？地下へ行っちまったぜ…,,非表示,0,,非表示,0,10,江戸川コナン,3,,,,,,
24クリック目,灰原哀,あんなデレデレして…まったく、最近の小学生は…,,,,11,灰原哀,9,,非表示,0,,,,,,
25クリック目,毛利小五郎,"うぉおおおーんっ！
ヨーコちゃあぁああああんっ！",,,,10,毛利小五郎,4,,,,,,,,,
26クリック目,,,,,,,非表示,0,,,,,,,,,
27クリック目,江戸川コナン,ただいま！蘭姉ちゃん！,1,円谷光彦,15,1,吉田歩美,12,3,江戸川コナン,3,,,,住宅街,2,IN
28クリック目,毛利蘭,あら、みんなお帰りなさい！,2,毛利蘭,8,,,,,,,,,,,,
29クリック目,毛利蘭,そうそう、遊園地の年間パスポートが届いているわよ！,1,毛利蘭,8,,,,,,,,,,,,
30クリック目,円谷光彦,これで遊園地の乗り物が乗り放題ですね！,2,円谷光彦,15,,,,,,,,,,,,
31クリック目,吉田歩美,楽しかったよね！ドラマもイベントも！,,,,3,吉田歩美,12,,,,,,,,,
32クリック目,小嶋元太,今度は、うな重食べ放題のイベントとかやらねぇかな！,,,,,,,1,小嶋元太,17,,,,,,
33クリック目,毛利小五郎,…うおぉおおおんっ！ヨーコちゃあぁんっ！,,非表示,0,10,毛利小五郎,4,,非表示,0,,,,,,
34クリック目,江戸川コナン,（おっちゃん、まだ引きずってたのかよ…）,,,,,,,5,江戸川コナン,3,,,,,,
