,,,毛利蘭　証言③,,60文字以内,,,,,,,,,,,
,,,ID,場面,番号,キャラクター,シナリオ,,,画面,,,,,,確認結果
,,,,,,,"セリフ
54文字以内",字数,備考,左　　　　　　　　　　　　　表示キャラ（表情）,中央　　　　　　　　　　　表示キャラ（表情）,右　　　　　　　　　　　　　表示キャラ（表情）,"背景
(イメージ）",演出／効果,備考,コメント
,毛利蘭,,,,1,毛利蘭,「[[[にちようび]]]」は「にちようび」よ！,17,,,,,,,,
,,,鈴木園子　証言③,,60文字以内,,,,,,,,,,,
,,,ID,場面,番号,キャラクター,シナリオ,,,画面,,,,,,確認結果
,,,,,,,"セリフ
54文字以内",字数,備考,左　　　　　　　　　　　　　表示キャラ（表情）,中央　　　　　　　　　　　表示キャラ（表情）,右　　　　　　　　　　　　　表示キャラ（表情）,"背景
(イメージ）",演出／効果,備考,コメント
,鈴木園子,,,,1,鈴木園子,「[[[がむ]]]」は「ガム」よ！,11,,,,,,,,
,,,阿笠博士　証言④,,60文字以内,,,,,,,,,,,
,,,ID,場面,番号,キャラクター,シナリオ,,,画面,,,,,,確認結果
,,,,,,,"セリフ
54文字以内",字数,備考,左　　　　　　　　　　　　　表示キャラ（表情）,中央　　　　　　　　　　　表示キャラ（表情）,右　　　　　　　　　　　　　表示キャラ（表情）,"背景
(イメージ）",演出／効果,備考,コメント
,阿笠博士,,,,1,阿笠博士,「たぬき」は「[[[たぬき]]]」じゃ！,14,,,,,,,,
,阿笠博士,,,,1,阿笠博士,「もみじ」は「[[[もみじ]]]」じゃよ！,15,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
毛利蘭,1,,,,,,,,,,,,,,,
鈴木園子,1,,,,,,,,,,,,,,,
阿笠博士,2,,,,,,,,,,,,,,,
灰原哀,0,,,,,,,,,,,,,,,
毛利小五郎,0,,,,,,,,,,,,,,,
江戸川コナン,0,,,,,,,,,,,,,,,
