ステージ5導入ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,毛利小五郎,おい、何やってんだ…？,,,,1,毛利小五郎,4,,,,,,,駅,4,IN,,,,,
2クリック目,毛利蘭,あぁ、コナン君がね、暗号を考えて少年探偵団のみんなが解いているの…,9,毛利蘭,8,,,,,,,,,,,,,,,,,
3クリック目,毛利小五郎,まったく…ガキが、いっちょまえに暗号なんて考えやがって…んん？,,,,,,,,,,,,,,,,,,,,
4クリック目,毛利小五郎,こりゃ何だ？…この暗号の上に付いてる、小さい黒や白のまる…,,,,5,毛利小五郎,4,,,,,,,,,,,,,,
5クリック目,毛利小五郎,この付き方からして、何か文字を意味してるんじゃねーのか？,,,,,,,,,,,,,,,,,,,,
6クリック目,毛利小五郎,"…どうだ、この名探偵、毛利小五郎の推理は？これであのガキの暗号なんて
楽勝だろー！がーっはっはっは…！",,,,26,毛利小五郎,4,,,,,,,,,,,,,,
7クリック目,毛利蘭,"お父さん全然わかってないみたい…この暗号ね…こういうルールになってて…
それで…こうなってて…",,,,,,,,,,,,,,,,,,,,
8クリック目,毛利小五郎,"ふむふむ…ほー！何だ！そういうことか！ま、実はほとんど俺は解いちまってた
けどな！",,,,1,毛利小五郎,4,,,,,,,,,,,,,,
9クリック目,毛利蘭,そうだったんだ…そうだ！お父さんもみんなにヒントを出してあげてよ！,12,毛利蘭,8,,,,,,,,,,,,,,,,,
10クリック目,毛利小五郎,ま、名探偵としてはそのくらい朝飯前よ！！がーはっはっは！,,,,2,毛利小五郎,4,,,,,,,,,,,,,,
