【第5回】 11月レイドイベント,,,
事件名,第1回推理力テスト,,
目的(ユーザーの動き),換字暗号で書かれた文章をヒントに、各話ごとに出題される正解アイテムを突き止める,,
依頼者,江戸川コナン,,
被害者,,,
犯人名,,,
はずれ容疑者①,,,
はずれ容疑者②,,,
捜査現場（物探し）,探偵事務所,,
概要,"探偵マシーン乗って訓練を積んできたユーザーに対して、コナンがここまでの成果を試すテストを行う。
テストの内容は暗号解読。ある正解アイテムを説明した文章が図形でできた暗号文に置き換えられて出題される。
ユーザーは、町中にいる蘭や少年探偵団たちに聞き込みを行ってヒント（＝暗号の例文）を得て、問題の暗号文を解読し、
それが示すアイテムをもの探しによって見つ出す。",,
正解アイテム,湯飲み,,
はずれアイテム,ボールペン、コーヒーカップ、ネクタイ、コロコロクリーナー、探偵帽、灰皿、お酒のビン、バインダー、メモ帳,,
正解動機,,,
はずれ動機①,,,
はずれ動機②,,,
エンディング形式,江戸川コナンが語りかけてくる,,
エンディング要約,"コナンや少年探偵団、灰原たちも登場し、最後まで到達したユーザーをほめて、これからも探偵訓練をがんばるよう励ます。
また、同じようなテストを今後もときどき行うことを予告して終了する。",,
登場人物,ヒントキャラ（レイドボス）：毛利蘭　鈴木園子　灰原哀　小島元太　吉田歩美　円谷光彦,,
証言数,毛利蘭,,8
,鈴木園子,,6
,阿笠博士,,6
,灰原哀,,6
,毛利小五郎,,6
,江戸川コナン,,4
