調査依頼ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,江戸川コナン,やあ！…探偵訓練の調子はどうかな？,2,江戸川コナン,3,,,,,,,,,,研究所,10,IN
2クリック目,阿笠博士,…うむ…どうやら順調に進んでいるみたいじゃな！,,,,,,,1,阿笠博士,6,,,,,,
3クリック目,阿笠博士,ワシも探偵訓練マシーンを作った甲斐があるわい！,,,,,,,12,阿笠博士,6,,,,,,
4クリック目,江戸川コナン,"よーし！じゃあ、どれくらい名探偵に近づいたのか、
ちょっとテストをしてみようか！",1,江戸川コナン,3,,,,1,阿笠博士,6,,,,,,
5クリック目,江戸川コナン,"今回のテストは、暗号解読だよ！
これからボクが暗号文を出すから、解読してみてね！
この暗号文は、あるひとつのアイテムのことを説明した文章なんだ！",,,,,,,,,,,,,,,
6クリック目,江戸川コナン,"そのアイテムは探偵事務所の中に置いてあるんだけど、
暗号文を解読して、そのアイテムが何なのか、探し出してみよう！",,,,,,,,,,,,,,,
7クリック目,江戸川コナン,問題の暗号文は…これだよ！！,,,,,,,,非表示,0,暗号,50001,中央,,,
8クリック目,江戸川コナン,"暗号解読のヒントは、蘭姉ちゃんや少年探偵団のみんながくれるから、
町の中を探してみよう！",,,,,,,,,,,,,,,
9クリック目,江戸川コナン,"え…ちょっと難しそう…？
…大丈夫だよ！必ず解けるさ！",,,,,,,,,,,,,,,
10クリック目,江戸川コナン,それじゃあ、推理力テストをはじめよう！！,12,江戸川コナン,3,,,,,,,,,,,,
11クリック目,阿笠博士,頑張るんじゃよ～！,,,,,,,12,阿笠博士,6,,,中央：非表示,,,
