正解ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情,左キャラ名,カードID,表情,中央キャラ,カードID,表情,右キャラ,カードID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,桜庭おさむ,"それでは正解の発表です！
今回のヒントは「<font color='#FF9D9D'>一歩下がって見てください</font>」…つまり「一文字下げる」ことで暗号は
完成するのです！",,,,1,桜庭おさむ,92,,,,,,,高校部室,19,IN
2クリック目,桜庭おさむ,"暗号は「<font color='#FF9D9D'>えやわせせぎめね</font>」…一文字下げると「<font color='#FF9D9D'>おゆをそそぐもの</font>」…
つまり「<font color='#FF9D9D'>やかん</font>」です！",,,,,,,,,,やかん,323,右,,,
3クリック目,桜庭おさむ,さて、優勝チームの発表です…,,,,,,,,,,,,右：非表示,,,
4クリック目,桜庭おさむ,…<font color='#FF9D9D'>鈴木園子さんチーム！</font>,,,,,,,,,,,,,,,
5クリック目,鈴木園子,や、やったーっ！やったよ！真さん！,2,鈴木園子,13,,,,,,,,,,,,
6クリック目,京極真,やりましたね、園子さん！,,,,1,京極真,86,,,,,,,,,
7クリック目,鈴木園子,蘭！世良さんも！ありがとーっ！,,,,,,,,,,,,,,,
8クリック目,毛利蘭,うん、がんばったね！,,,,,,,2,毛利蘭,8,,,,,,
9クリック目,世良真純,楽しかったよ！,,,,3,世良真純,87,,,,,,,,,
10クリック目,鈴木園子,どうよメガネのガキんちょ！園子サマとその仲間達の実力は！,,,,,,,,,,,,,,,
11クリック目,江戸川コナン,はいはい、良かったね、園子姉ちゃん…,,,,22,江戸川コナン,3,,,,,,,,,
12クリック目,,(それから数日後…）,,非表示,0,,非表示,0,,非表示,0,,,,,,
13クリック目,鈴木園子,"憧れのカフェ・ブルマンのケーキバイキングを時間無制限！それも真さんと
一緒なんて…！",1,鈴木園子,13,,,,,,,,,,カフェ,11,IN
14クリック目,鈴木園子,真さん、どうかしたの？,,,,,,,,,,,,,,,
15クリック目,世良真純,なんか落ち着かないみたいだね？,,,,1,世良真純,87,,,,,,,,,
16クリック目,毛利蘭,無理ないかな…まわりは女の子ばかりだもの…,,,,,,,1,毛利蘭,8,,,,,,
17クリック目,京極真,"いや、それもあるのですが…私もご一緒して良かったのかと…
これは世間でいう女子会とかいうものでは？",,,,1,京極真,86,,,,,,,,,
18クリック目,鈴木園子,もぉ、そんなこと気にしなくていいのに！,2,鈴木園子,13,,,,,,,,,,,,
19クリック目,鈴木園子,あたしは真さんと一緒でとっても嬉しいんだから！,,,,,,,,,,,,,,,
20クリック目,鈴木園子,というわけで、はい、真さん！　あーん♪,,,,,,,,,,,,,,,
21クリック目,京極真,はあ…その…恐縮です…,,,,,,,,,,,,,,,
22クリック目,鈴木園子,おいしい？,,,,,,,,,,,,,,,
23クリック目,京極真,はい…思ったより甘くなくて、美味しいですね！,,,,2,京極真,86,,,,,,,,,
24クリック目,鈴木園子,じゃあ、も一つあーん♪,,,,,,,,,,,,,,,
25クリック目,世良真純,うひゃあ…,,,,5,世良真純,87,,,,,,,,,
26クリック目,毛利蘭,園子ってば…,,,,,,,2,毛利蘭,8,,,,,,
27クリック目,鈴木園子,あれ？蘭も世良さんも食べないの？,1,鈴木園子,13,,,,,,,,,,,,
28クリック目,世良真純,それは…ねぇ？,,,,3,世良真純,87,,,,,,,,,
29クリック目,毛利蘭,園子達見てたら、お腹いっぱいというか…,,,,,,,1,毛利蘭,8,,,,,,
30クリック目,鈴木園子,"ヘンなの…ま、いっか！
はい真さん、もうひとつ♪",2,鈴木園子,13,,,,,,,,,,,,
