調査依頼ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,桜庭おさむ,今回のステージはここ図書館です！,,,,1,桜庭おさむ,92,,,,,,,図書館,16,IN
2クリック目,桜庭おさむ,それでは今回のヒントは…こちらです！,,,,,,,,,,話,60006,左,,,
3クリック目,小嶋元太,おーし！ガンガン探すぞ！,,,,,,,2,小嶋元太,17,,,左：非表示,,,
4クリック目,円谷光彦,みんなで探す場所を分担しましょう！,2,円谷光彦,15,,非表示,0,,,,,,,,,
5クリック目,吉田歩美,ほらコナン君も！一緒に探そうよ！,,,,3,吉田歩美,12,,,,,,,,,
6クリック目,江戸川コナン,（なんでオレまで…）,,,,,,,11,江戸川コナン,3,,,,,,
7クリック目,保田健児,目指せ、ケーキ食い放題ーっ！,1,保田健児,90,,非表示,0,,非表示,0,,,,,,
8クリック目,窓野裕樹,ブルマンのケーキバイキング…ナンパ最強のアイテムをゲットするぞ～！,,,,1,窓野裕樹,91,,,,,,,,,
9クリック目,鈴木園子,他校の生徒も大勢参加してるわね…負けてられないわね！,,,,,,,7,鈴木園子,13,,,,,,
10クリック目,新出智明,はりきりすぎてケガしないようにして下さいよ？,,非表示,0,1,新出智明,18,,非表示,0,,,,,,
