調査依頼ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,桜庭おさむ,"皆さん、準備はよろしいですか？
このステージのヒントは…こちらです！",,,,1,桜庭おさむ,92,,,,消しゴム,132,左,図書館,16,IN,,,,,
2クリック目,毛利蘭,今回のステージは図書館ね…,,,,1,毛利蘭,8,,,,,,"左：非表示",,,,,,,,
3クリック目,数藤学,ようし、図書館ならボクらの庭だ！,1,数藤学,88,,,,,,,,,,,,,,,,,
4クリック目,二階りか子,ここで一気に逆転するわよ！そしてふたりでブルマンに…,,,,1,二階りか子,89,,,,,,,,,,,,,,
5クリック目,窓野裕樹,おっと、そうはいかないよ！,,,,,,,1,窓野裕樹,91,,,,,,,,,,,
6クリック目,保田健児,俺達もまだ優勝をあきらめたわけじゃねぇんだぜ！,,,,1,保田健児,90,,,,,,,,,,,,,,
7クリック目,数藤学,君達、男だけのチームで、ケーキバイキングに行く気なの？,,,,,,,,,,,,,,,,,,,,
8クリック目,保田健児,んだよ！ヤンキーが甘いもの好きで悪いのかよ！？,,,,,,,,,,,,,,,,,,,,
9クリック目,窓野裕樹,いや、俺はこのバイキング時間無制限券でナンパを…,,,,,,,,,,,,,,,,,,,,
10クリック目,世良真純,同じチケットをゲットしようとしていても、それぞれの目的があるんだね…,1,世良真純,87,,"非表示",0,,"非表示",0,,,,,,,,,,,
11クリック目,毛利蘭,世良さんの目的は？,,,,1,毛利蘭,8,,,,,,,,,,,,,,
12クリック目,世良真純,ボクかい？面白そうだったからさ！,3,世良真純,87,,,,,,,,,,,,,,,,,
13クリック目,毛利蘭,そうね、宝探しとっても楽しいわよね！,,,,2,毛利蘭,8,,,,,,,,,,,,,,
