調査依頼ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,世良真純,日本の学園祭って面白いね！本当にお祭りって感じだよ！,1,毛利蘭,8,1,世良真純,87,1,鈴木園子,13,,,,学校の校庭,7,IN,,,,,
2クリック目,鈴木園子,そういえば、アメリカで暮らしてたんだっけ？,,,,,,,,,,,,,,,,,,,,
3クリック目,毛利蘭,やっぱり日本とは違うの？,,,,,,,,,,,,,,,,,,,,
4クリック目,世良真純,うん、あっちはお祭りというか…パーティーとかが多いんだよね！,,,,,,,,,,,,,,,,,,,,
5クリック目,桜庭おさむ,"ご来場のみなさん、そして帝丹高校の生徒諸君！実行委員よりお知らせです！
これより、本学園祭の目玉イベント、チーム対抗宝探しゲームを開催します！",,"非表示",,1,桜庭おさむ,92,,"非表示",0,,,,,,,,,,,
6クリック目,桜庭おさむ,場所は校舎内と学校の敷地、そして当校近くにオープンしたカフェ・ブルマンです！,,,,,,,,,,,,,,,,,,,,
7クリック目,桜庭おさむ,宝となる品は各ステージに隠されています。各ステージの暗号を集め、その謎を解いて宝物を発見してください！,,,,,,,,,,,,,,,,,,,,
8クリック目,鈴木園子,宝探し？今年はまた大がかりなイベントやるわね……,,,,,,,2,鈴木園子,13,,,,,,,,,,,
9クリック目,桜庭おさむ,"尚、優勝チームには、カフェ・ブルマンのケーキバイキング時間無制限券がプレゼント
されます！",,,,,,,,,,,,,,,,,,,,
10クリック目,(来場者一同）,おおっー！,,,,,,,,,,,,,,,,,,,,
11クリック目,鈴木園子,な、なんですって！？,1,毛利蘭,8,,"非表示",,10,鈴木園子,13,,,,,,,,,,,
12クリック目,毛利蘭,学園祭のイベントにカフェのチケットなんて、すごいわね！,,,,,,,,,,,,,,,,,,,,
13クリック目,世良真純,聞いた話だけど、ブルマンのマスターはここの卒業生らしいよ？,,,,1,世良真純,87,,,,,,,,,,,,,,
14クリック目,毛利蘭,そっか、だからイベント会場にもカフェがあるのね…,,,,,,,,,,,,,,,,,,,,
15クリック目,鈴木園子,もー蘭達ったら、ホント女子力低いわね…注目すべきポイントはそこじゃないのっ！,,,,,,,2,鈴木園子,13,,,,,,,,,,,
16クリック目,鈴木園子,"ブルマンのケーキバイキングっていったら、帝丹だけでなく近隣の女子すべての
憧れの的なのよ！",,,,,,,,,,,,,,,,,,,,
17クリック目,新出智明,そうみたいですね…,,,,1,新出智明,18,,,,,,,,,,,,,,
18クリック目,毛利蘭,新出先生！先生も参加するんですか？,2,毛利蘭,8,,,,,,,,,,,,,,,,,
19クリック目,新出智明,ええ、帝丹の先生チームに応援を頼まれてしまいまして…,,,,3,新出智明,18,,,,,,,,,,,,,,
20クリック目,小嶋元太,オレ達少年探偵団も参加するぜ！,,,,,,,3,小嶋元太,17,,,,,,,,,,,
21クリック目,毛利蘭,あら、元太君、コナン君、みんなも！,1,毛利蘭,8,,,,,,,,,,,,,,,,,
22クリック目,吉田歩美,こんにちは蘭お姉さん！,,,,2,吉田歩美,12,,,,,,,,,,,,,,
23クリック目,江戸川コナン,みんなが蘭姉ちゃんの学園祭に連れてけってうるさくってさ…,,,,,,,5,江戸川コナン,3,,,,,,,,,,,
24クリック目,円谷光彦,まさかこんなボク達向きのイベントがあるなんて、思いもしませんでしたよ！,,,,1,円谷光彦,15,,,,,,,,,,,,,,
25クリック目,鈴木園子,ふっ、甘いわね！優勝するのは、この園子チームよ！,,,,,"非表示",0,1,鈴木園子,13,,,,,,,,,,,
26クリック目,鈴木園子,ボクっ娘探偵の世良さん！眠りの小五郎の娘の蘭！そして推理クイーンの園子サマ！,9,毛利蘭,8,1,世良真純,87,,,,,,,,,,,,,,
27クリック目,鈴木園子,この三人の前には、先生ズもガキんちょチームも敵じゃないわよ！,,,,,,,,,,,,,,,,,,,,
28クリック目,毛利蘭,え？わたし達も参加するの？,,,,,,,,,,,,,,,,,,,,
29クリック目,世良真純,ボクはオッケーだよ！面白そうだ！,,,,3,世良真純,87,,,,,,,,,,,,,,
30クリック目,世良真純,それじゃコナン君はどのチームに入るんだい？,,,,1,世良真純,87,,,,,,,,,,,,,,
31クリック目,江戸川コナン,ええっ？ボクは…,,,,,,,10,江戸川コナン,3,,,,,,,,,,,
32クリック目,吉田歩美,コナン君はこっち！少年探偵団チームだよ！,,,,3,吉田歩美,12,,,,,,,,,,,,,,
33クリック目,江戸川コナン,お、おい勝手に…,,,,,,,,,,,,,,,,,,,,
34クリック目,小嶋元太,少年探偵団、がんばるぞーっ！,,,,,,,3,小嶋元太,17,,,,,,,,,,,
35クリック目,円谷光彦,おーっ！,,,,2,円谷光彦,15,,,,,,,,,,,,,,
36クリック目,江戸川コナン,(やれやれ…しょうがねーなー…）,,"非表示",,,"非表示",0,22,江戸川コナン,3,,,,,,,,,,,
