【第8回】 1月レイドイベント,,
事件名,豪華クルーザー殺人事件,
目的(ユーザーの動き),大型クルーザー船上で発生したNYのメディア王殺人事件を捜査し、船内にいる容疑者3人の中から真犯人を突き止める。,
依頼者,江戸川コナン,
被害者,ロブ・メルドック,
犯人名,井戸原耕市,
はずれ容疑者①,メリンダ・メルドック,
はずれ容疑者②,トニー・シンプソン,
捜査現場（物探し）,スポーツジム,
概要,工藤有希子に招待されて、コナン、少年探偵団、阿笠博士と灰原たちがNYのメディア王が所有する大型クルーザー上で開かれるパーティーに参加した。しかし、パーティーの最中にメディア王が密室状態の自室で刺殺体となって発見される。数々の謎を解き明かし、たどり着いた真犯人は被害者のかつての事業パートナーであり、被害者に裏切られて会社を追放された日本人男性であった。彼は癌に侵されたことで決意をし、死ぬ前に昔年の恨みを晴らそうと被害者を刺したのだった。,
正解アイテム,スカッシュシューズ,
はずれアイテム,懐中電灯、水筒、タオル、なわとび、イヤホン、ソックス、テニスボール、ベルト、救急箱,
正解動機,恨みを晴らすため,
はずれ動機①,口封じのため,
はずれ動機②,遺産を手に入れるため,
エンディング形式,追い詰められた犯人の自白,
エンディング要約,"捜査により、死亡推定時刻の偽装や密室トリックが暴かれ、被害者が殺害された時刻に一緒にいたのが真犯人しかいないことを追及され、
観念して自白する。",
登場人物,"【原作キャラクター】江戸川コナン、毛利蘭、毛利小五郎、阿笠博士、小島元太、吉田歩美、円谷光彦、灰原哀、横溝参悟、工藤有希子、工藤優作
【オリジナルキャラクター】被害者：ロブ・メルドック　容疑者：井戸原耕市、メリンダ・メルドック、トニー・シンプソン　関係者：笹川修一（船長）、嶋中郁江（パーサー）",
証言数,毛利蘭,4
,笹川修一,4
,嶋中郁江,5
,横溝参悟,5
,工藤有希子,5
,メリンダ,4
,シンプソン,4
,井戸原耕市,4
,工藤優作,1
