調査依頼ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,阿笠博士,おぉ、よく来たな！,,,,1,阿笠博士,6,,,,,,,研究所,10,IN
2クリック目,阿笠博士,今日はじゃな、とっておきの発明品をお見せするぞ！,,,,12,阿笠博士,6,,,,,,,,,
3クリック目,阿笠博士,その名も「探偵体験マシーン」じゃぞ！,,,,1,阿笠博士,6,1,マシン,72,,,,,,
4クリック目,阿笠博士,"探偵になるための訓練を受けることができるマシーンなんじゃ！
探偵として事件を体験できる、優れものじゃ……
…と言っても、あくまで疑似体験で、本当に事件が起こってるわけではないぞ！",,,,12,阿笠博士,6,,,,,,,,,
5クリック目,阿笠博士,"このマシーンには、新一…コナン君たちが過去に解いた事件がインプットされておる……
もちろん、マシーンオリジナルの事件もあるぞ！",,,,,,,,,,,,,,,
6クリック目,阿笠博士,…なんじゃ？体験してみたいって？,,,,1,阿笠博士,6,,,,,,,,,
7クリック目,阿笠博士,"おおぉ！ちょうどよかった！
まだ誰も使ったことがないんじゃ！",,,,,,,,,,,,,,,
8クリック目,阿笠博士,"1人で乗るのは心配じゃと？大丈夫！
マシーンではコナン君と一緒に進められるように設定してあるんじゃ！",,,,,,,,,,,,,,,
9クリック目,阿笠博士,さぁさぁ、のったのった！,,,,1,阿笠博士,6,2,マシン,72,,,,,,
10クリック目,阿笠博士,気をつけて行ってくるんじゃぞ！,,,,,,,1,マシン,72,,,,,,
11クリック目,探偵体験マシーン,-,,,,1,マシン,72,,非表示,,,,,,,
12クリック目,探偵体験マシーン,-,,,,,非表示,,,,,,,,,,マシン演出
13クリック目,江戸川コナン,"どうしたの？ぼーっとして……
今日から僕と一緒に探偵の訓練するんでしょ？",,,,3,江戸川コナン,3,,,,,,,探偵事務所,12,IN
14クリック目,江戸川コナン,今日から、宜しくね！一緒に難事件を解いていこう！,,,,2,江戸川コナン,3,,,,,,,,,
15クリック目,江戸川コナン,早速、事件の依頼がきてるから出かけるけど、一緒に行く？,,,,,,,,,,,,,,,
16クリック目,江戸川コナン,よし！じゃぁ行こっか！,,,,12,江戸川コナン,3,,,,,,,,,
