エンディングストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情",左キャラ名,カードID,"表情",中央キャラ,カードID,"表情",右キャラ,カードID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,阿笠博士,"<font color='#FF9D9D'>頭が濁ると体が透けて、お腹が抜けるとゴミしか残らないもの</font>…
正解は分かったかな？",1,阿笠博士,6,1,円谷光彦,15,3,吉田歩美,12,,,,繁華街,5,IN,,,,,
2クリック目,吉田歩美,"あ、ネズミじゃないかな！？
お腹が減るとゴミ箱に来るのはネズミだよねっ！",,,,,,,,,,,,,,,,,,,,
3クリック目,円谷光彦,問題は、お腹が減るんじゃなくて、抜ける、ですよ…,,,,,,,,,,,,,,,,,,,,
4クリック目,小嶋元太,あとゴミ箱によく来るのはカラスだよな…,,,,,,,1,小嶋元太,17,,,,,,,,,,,
5クリック目,円谷光彦,"だからゴミ箱は関係ない……
いやそれです！<font color='#FF9D9D'>カラス</font>ですよ！",,,,13,円谷光彦,15,,,,,,,,,,,,,,
6クリック目,円谷光彦,"カラスの最初の文字、つまり頭の「カ」に濁点をつけると「ガラス」
になります！",,,,,,,,"非表示",0,カラス,435,右,,,,,,,,
7クリック目,円谷光彦,"そして「カラス」のお腹、つまり真ん中の文字「ラ」を抜くと、
「カス」…つまりゴミになります！",,,,2,円谷光彦,15,,,,,,,,,,,,,,
8クリック目,阿笠博士,"うむ！正解じゃ！！
…ところで、皆ごみ拾いの方はちゃんと終わったのかな？",12,阿笠博士,6,,,,,,,,,"右：非表示",,,,,,,,
9クリック目,円谷光彦,"はっ！考えるのに夢中で忘れてました！
すぐ拾ってきます！",,,,10,円谷光彦,15,,,,,,,,,,,,,,
10クリック目,吉田歩美,早くやらなきゃ終わらないよ！,,"非表示",,,"非表示",,1,吉田歩美,12,,,,,,,,,,,
11クリック目,江戸川コナン,（やれやれ…やっぱこうなるのか…）,5,江戸川コナン,3,,,,,"非表示",0,,,,,,,,,,,
