調査依頼ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,吉田歩美,"博士ー！蘭おねーさーん！
早く早く！",3,吉田歩美,12,,,,,,,,,,公園,3,IN
2クリック目,阿笠博士,"ホッホッホッ！
そう急がんでもサンドイッチは逃げんぞー！",,,,1,阿笠博士,6,,,,,,,,,
3クリック目,円谷光彦,蘭さん、さっきのサンドイッチを買ったカフェ、キレイでしたね！,,,,,,,2,円谷光彦,15,,,,,,
4クリック目,毛利蘭,そうでしょ？あそこのお店、とても人気があるのよ！,12,毛利蘭,8,,,,,,,,,,,,
5クリック目,小嶋元太,"なぁー早く食べようぜー！
オレ、腹へっちまったよ……",,,,,,,5,小嶋元太,17,,,,,,
6クリック目,江戸川コナン,（いつもだけどな……）,,,,,,,11,江戸川コナン,3,,,,,,
7クリック目,灰原哀,たまには外で食事をするのも良いわね……,2,灰原哀,9,,,,,,,,,,,,
8クリック目,江戸川コナン,あぁ、まぁな…今日は天気もいいしな…,,,,,,,2,江戸川コナン,3,,,,,,
9クリック目,毛利蘭,"さて、それじゃあ食べよっか！
じゃあ皆、せーの……",2,毛利蘭,8,,,,,,,,,,,,
10クリック目,小嶋元太,いっただきまー……,,,,,,,2,小嶋元太,17,,,,,,
11クリック目,阿笠博士,"ちょーっと待つんじゃ！
ここでワシから一つ、クイズじゃ！",,,,1,阿笠博士,6,,,,,,,,,
12クリック目,小嶋元太,"えー！
何だよ博士ー！",,,,,,,10,小嶋元太,17,,,,,,
13クリック目,阿笠博士,"まぁまぁ、食事の前にあたまの体操じゃ！
では問題！カフェで暮らしている食器たちはそれぞれ別々の場所に家を持っている！　　　",,,,,,,,,,,,,,,
14クリック目,阿笠博士,"その中で、巣を作って住んでいる食器がいるんじゃが、それは一体どの食器？
ヒントは食べ方じゃよ！",,,,,,,,,,,,,,,
15クリック目,灰原哀,……また始まったわね、博士のダジャレ……,5,灰原哀,9,,,,,,,,,,,,
16クリック目,江戸川コナン,"あぁ……
博士も好きだなー……",,,,,非表示,0,6,江戸川コナン,3,,,,,,
17クリック目,毛利蘭,"うーん……わからないわ…
鳥のくちばしみたいだから、トングかな？
皆はわかった？",13,毛利蘭,8,,非表示,0,,非表示,0,トング,235,中央,,,
18クリック目,円谷光彦,"うーん……
ボクはアリみたいに穴を掘れるスプーンだと思います！",,非表示,0,,,,14,円谷光彦,15,スプーン,227,中央,,,
19クリック目,小嶋元太,"じゃあ、オレはハチみたいに刺せるからフォーク！
なぁ博士、当たってるだろ？",,,,,,,2,小嶋元太,17,フォーク,214,中央,,,
20クリック目,吉田歩美,"えぇ～と……
何だろう？カマキリみたいに切れるからナイフ……かな？",3,吉田歩美,12,,,,,非表示,0,ナイフ,225,中央,,,
21クリック目,阿笠博士,"うーん惜しい！今出た中に正解があるんじゃが…
理由が違うのう…
さーて、正解はどれじゃろうな？",,非表示,0,12,阿笠博士,6,,,,,,中央：非表示,,,
