エンディングストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,,左キャラ名,カードID,表情,中央キャラ,カードID,表情,右キャラ,カードID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,江戸川コナン,"あ、来た来た！
ねえ！お兄さん！",1,江戸川コナン,3,,,,1,吉本花子,42,,,,公園,3,IN
2クリック目,勝俣ヒロシ,ん？なんだい？,,,,1,勝俣ヒロシ,56,,,,,,,,,
3クリック目,江戸川コナン,"もしかしてお兄さん……
<font color='#FF9D9D'>ローラースケート</font>を履いて、夜にここをよく通るでしょ？",,,,,,,,,,,,,,,
4クリック目,勝俣ヒロシ,"ああ！よく通るよ！この公園、家までの近道でね！
広くて滑るとすごく気持ちがいいんだ！
ジャンプする練習なんかもしてるんだぜ！",,,,,,,,,,,,,,,
5クリック目,江戸川コナン,"この途切れ途切れの車輪の跡……
やっぱりローラースケートで
ジャンプしながら滑った後だったんだね！",,,,,,,,,,,,,,,
6クリック目,勝俣ヒロシ,"え？ああ……確かにローラースケートの跡だね！
それがどうかしたのかい？",,,,,,,,,,,,,,,
7クリック目,江戸川コナン,"おばあちゃんがローラースケートで滑るときの
「シャー」っていう音がうるさくて、とっても迷惑してるみたいだよ！",,,,,,,,,,,,,,,
8クリック目,勝俣ヒロシ,"えっ！それは悪いことをしちゃったな……
いつもすぐに通りすぎちゃうから気が付かなかったよ……
夜に滑るときは気を付けるよ……おばあちゃん！ごめんなさい！",,,,,,,,,,,,,,,
9クリック目,吉本花子,"分かってくれればいいのよ！
転ばないように気を付けてね……
坊や、ありがとうね！",,,,,,,,,,,,,,,
10クリック目,江戸川コナン,"うん！バイバイ！
おばあちゃん！
（一件落着だな！）",3,江戸川コナン,3,,,,,,,,,,,,
