調査依頼ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,吉田歩美,"ねぇねぇ！
今日は公園で何して遊ぶ？",1,吉田歩美,12,1,江戸川コナン,3,1,円谷光彦,15,,,,公園,3,IN
2クリック目,江戸川コナン,"そうだな……
サッカーはどうだ？",,,,,,,,,,,,,,,
3クリック目,円谷光彦,"今日はボールも持ってきてないんです…
どうしましょうか？",,,,,,,5,円谷光彦,15,,,,,,
4クリック目,吉田歩美,"ねぇ博士！
何か面白い遊びしらない？",,,,,,,,,,,,,,,
5クリック目,小嶋元太,博士もオレ達と来たんだから、一緒に考えてくれよな！,,,,1,小嶋元太,17,,,,,,,,,
6クリック目,阿笠博士,"ふむ……そうは言われてものぅ……
では…<font color='#FF9D9D'>クイズ</font>はどうじゃ？",,,,1,阿笠博士,6,,,,,,,,,
7クリック目,円谷光彦,またクイズですかー…,,,,,,,,,,,,,,,
8クリック目,阿笠博士,"今回はいつもとちょっと違うぞ！
ワシが今から出すクイズの答えを、みんなが公園の中から探しだすんじゃ！
一番早く持って来ることが出来たら正解！どうじゃ？",,,,12,阿笠博士,6,,,,,,,,,
9クリック目,吉田歩美,"へぇ～！
面白そう！やってみようよ！",3,吉田歩美,12,,,,,,,,,,,,
10クリック目,円谷光彦,"そうですね！
他にすることもないですし、やりましょう！",,,,,,,1,円谷光彦,15,,,,,,
11クリック目,小嶋元太,よーし！ぜってぇオレが一番先にクイズを解いてやる！,,,,1,小嶋元太,17,,,,,,,,,
12クリック目,阿笠博士,"ホッホッホ！
やる気があっていいのう！",,,,1,阿笠博士,6,,,,,,,,,
13クリック目,江戸川コナン,オレはパス…,,,,6,江戸川コナン,3,,,,,,,,,
14クリック目,阿笠博士,"分かった分かった……ではクイズじゃ！
「<font color='#FF9D9D'>9羽の鳥がひとつになるとできるもの、これはなんだ？</font>」
公園の中で答えだと思うものをワシの所まで持ってくるのじゃ！",,,,1,阿笠博士,6,,,,,,,,,
15クリック目,小嶋元太,よーし！じゃあ早速探しに行くぞ！,,,,1,小嶋元太,17,,,,,,,,,
16クリック目,円谷光彦,2人には負けませんよ！,,,,,,,2,円谷光彦,15,,,,,,
17クリック目,吉田歩美,"あーー！
2人とも先に行くなんてずるい！",,,,,,,,,,,,,,,
18クリック目,阿笠博士,"3人ともー！
気を付けて行くんじゃぞー！",,,,1,阿笠博士,6,,,,,,,,,
