調査依頼ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,灰原哀,"遅いわね…
吉田さんたちは大丈夫かしら…",,,,1,江戸川コナン,3,5,灰原哀,9,,,,河川敷,15,IN,,,,,
2クリック目,江戸川コナン,"大丈夫だろ…
夜、肝試しするために昼間ちゃんと下見したんだし…
それに森にはお化け役の博士もいるしな…",,,,,,,,,,,,,,,,,,,,
3クリック目,吉田歩美,きゃぁぁぁぁぁ～,10,吉田歩美,12,,,,,,,,,,,,,,,,,
4クリック目,江戸川コナン,ど、どうした！？,,,,10,江戸川コナン,3,,,,,,,,,,,,,,
5クリック目,小嶋元太,オ、オ、オバ、オバケだ！！！,,,,,,,10,小嶋元太,17,,,,,,,,,,,
6クリック目,江戸川コナン,……オバケ？,,,,25,江戸川コナン,3,,,,,,,,,,,,,,
7クリック目,円谷光彦,"も、森のほうに妖しい光がありまして…
ボクたちの方を照らしていて……",,,,,,,10,円谷光彦,15,,,,,,,,,,,
8クリック目,江戸川コナン,"はぁ？それはオバケじゃなくて、誰かが懐中電灯を持って
森の中を歩いてただけなんじゃねーのか？",,,,,,,,,,,,,,,,,,,,
9クリック目,吉田歩美,"うん……確かに光りの正体は懐中電灯だったんだけど……
その懐中電灯が浮いてたの！
ゆーらゆーらって！",5,吉田歩美,12,,,,,,,,,,,,,,,,,
10クリック目,円谷光彦,"…はい…　
いや、でも糸か何かで吊されてただけの可能性も……",,,,,,,,,,,,,,,,,,,,
11クリック目,小嶋元太,"じゃ、じゃーよー…
今からもう一回行ってみよーぜ！",,,,,,,1,小嶋元太,17,,,,,,,,,,,
12クリック目,江戸川コナン,"そうだな…
行ってみよう！",,,,2,江戸川コナン,3,,,,,,,,,,,,,,
13クリック目,,"―肝試しコース―",,"非表示",,,"非表示",,,"非表示",,,,,,,,,,,,
14クリック目,江戸川コナン,"<font color='#FF9D9D'>懐中電灯</font>が落ちてる！
…でも紐のようなものは落ちていないな…
この懐中電灯は引っ掛けられそうなところは無いし…",,,,1,江戸川コナン,3,,,,,,,,,,,,,,
15クリック目,江戸川コナン,"(この怯えようからして…
あいつらの誰かがイタズラしたとは考えづらいな…)",,,,,,,,,,,,,,,,,,,,
16クリック目,吉田歩美,ね！絶対オバケだよ！,9,吉田歩美,12,,,,,,,,,,,,,,,,,
17クリック目,円谷光彦,"あ、あの…肝試し中に何人かの人に会いましたよ…
もしかしたら…",,,,,,,1,円谷光彦,15,,,,,,,,,,,
18クリック目,江戸川コナン,どんな奴にあったんだ？,,,,,,,,,,,,,,,,,,,,
19クリック目,円谷光彦,"火の用心の見回りをしていた<font color='#FF9D9D'>男の人</font>に会いました…
途中でゴミを拾ったそうで、<font color='#FF9D9D'>空きビン</font>を持ってましたね……",,,,,"非表示",0,,,,中村隆弘,68,中央,,,,,,,,
20クリック目,吉田歩美,"それと、スイミングスクールの帰りの<font color='#FF9D9D'>男の子</font>を見かけたよ…
お父さんと一緒だった…",1,吉田歩美,12,,,,,,,浅沼はるお,48,中央,,,,,,,,
21クリック目,小嶋元太,"珍しい蝶を<font color='#FF9D9D'>虫かご</font>に入れた<font color='#FF9D9D'>女の子</font>もいたな……
デパートで父ちゃんに買ってもらったって言ってたぜ！",,,,,,,1,小嶋元太,17,高田あおい,70,中央,,,,,,,,
22クリック目,吉田歩美,"あとは<font color='#FF9D9D'>博士</font>！
<font color='#FF9D9D'>空き缶</font>に小石を入れて、じゃらじゃら鳴らして脅かそうとしてたの！
でもバレバレだったよ…",,,,,,,,,,阿笠博士,6,中央,,,,,,,,
23クリック目,円谷光彦,"でも…だれも紐のようなものは持っていなくて…
懐中電灯を吊るす事なんてできるんですかね…",,,,9,江戸川コナン,3,1,円谷光彦,15,,,"中央：非表示",,,,,,,,
24クリック目,江戸川コナン,"恐らくこの中の誰かが<font color='#FF9D9D'>懐中電灯を吊していたヒモを隠した</font>んだ…
懐中電灯を吊していた『<font color='#FF9D9D'>何か</font>』を隠し持っていても
不自然ではない人……もしかしたら…",,,,,,,,,,,,,,,,,,,,
