高校部室,,,Lv.5,,
,,,,,
事件概要,,,,,
証拠品ドロップアイテム,,,"ソックス",,0
事件現場（物探し）,,,高校部室,,0
クエストレベル,,,5,,0
依頼現場／対決場所,,,教室,,0
事件名,,,窓ガラスを割ったのは？,,0
事件概要,,,"学校近くの空き家の窓ガラスが割られる事件が発生。窓ガラスの近くに小さな石がたくさん落ちていたのだが、それらの石をぶつけたところでガラスは割れないだろう。ガラスの割れ方から、棒状のものでたたき割られたと考えられる。犯人らしき怪しい影が施錠されていなかったサッカー部の部室から出てくるのが目撃されている。容疑者は４人。一人目はギャルで、ウチワをもって付近をうろついているのが目撃されている。二人目はサッカー部部員の男子高校生で、ソックスをもって付近をうろついているのが目撃されている。本人は、洗濯するから持って帰ろうと思ったと供述。三人目はヤンキー、焼きそばパンを食べていたという報告がある。四人目が応援団長で、現場付近でベルトを持って歩いていた目撃証言がある。以上の状況から、犯人を特定せよ。
真相：窓ガラスを割ることが棒状のものを持っている人間はいない。しかし、ソックスに現場に落ちていた小石をたくさん積めれば簡易的な鈍器となる。男子高校生は、これを使って窓ガラスを割ったのである。男子高校生が窓ガラスを割ったのは、空き家の中に子犬が閉じ込められているのを発見したからである。",,ガキ大将が高校の部室に焼きそばパンを隠していたというのは強引なので、登場キャラクターを一部変更
依頼者,,,鈴木園子,,0
犯人名,,,男子高校生（勝俣ヒロシ）,,0
はずれ容疑者、物証①,,,ギャル（武井真美）,　：うちわ,
はずれ容疑者、物証②,,,ヤンキー（気谷タケル）,　：焼きそばパン,
はずれ容疑者、物証③,,,応援団長（青島小次郎）,　：ベルト,
