エンディングストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,江戸川コナン,"お兄さん！
お兄さんってこの前洋館のコンサートに参加していた人だよね？",1,江戸川コナン,3,1,向井こうじ,47,,,,,,,公園,3,IN,,,,,
2クリック目,向井こうじ,"ん、あぁ……
確かにそうだが、だからどうしたんだ？",,,,,,,,,,,,,,,,,,,,
3クリック目,鈴木園子,"あの時洋館にあった水銀灯が割れたわよね？
その時、あなたのペンダントの色が変わってたと思うんだけど……",,,,,,,1,鈴木園子,13,,,,,,,,,,,
4クリック目,向井こうじ,"え？
あぁ……そういえば確かに、金のネックレスなのに…
なぜか白っぽく変色していて……",,,,,,,,,,,,,,,,,,,,
5クリック目,江戸川コナン,"<font color='#FF9D9D'>金って、水銀に触れると白っぽく変色する</font>んだよ！
だから多分、お兄さんがペンダントを振り回している時に
水銀灯に当たったんじゃないかな？",2,江戸川コナン,3,,,,,,,,,,,,,,,,,
6クリック目,毛利蘭,それで水銀灯が割れたって事？,,,,,,,7,毛利蘭,8,,,,,,,,,,,
7クリック目,江戸川コナン,"うん！
違うかな？お兄さん？",,,,,,,,,,,,,,,,,,,,
8クリック目,向井こうじ,"あ、あぁ……
悪い、その日の事はワインを飲み過ぎたみたいで…よく覚えていないんだ……",,,,,,,,,,,,,,,,,,,,
9クリック目,向井こうじ,"だけどペンダントの色が変わっているって事は、
オレが割ったんだろうな……
悪い！",,,,,,,,,,,,,,,,,,,,
10クリック目,鈴木園子,え！じゃぁあの日ケータイの番号交換したのに一度も連絡くれなかったのって…,,,,,,,1,鈴木園子,13,,,,,,,,,,,
11クリック目,向井こうじ,えっ？オレ、キミと番号交換なんてしたかな…？,,,,,,,,,,,,,,,,,,,,
12クリック目,鈴木園子,"そんなー…
私の事忘れちゃってたってこと！？
ありえないー！！",,,,,,,10,鈴木園子,13,,,,,,,,,,,
13クリック目,江戸川コナン,"（おいおい……水銀灯はいいのかよ…
ま、園子らしいな……）",11,江戸川コナン,3,,,,,,,,,,,,,,,,,
