エンディングストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情,左キャラ名,カードID,表情,中央キャラ,カードID,表情,右キャラ,カードID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,毛利蘭,"分かった！
お父さんの<font color='#FF9D9D'>指の傷は、ペーパーナイフでついた傷</font>なのよ！",12,毛利蘭,8,1,毛利小五郎,4,,,,,,,繁華街,5,IN
2クリック目,毛利蘭,"指をケガしそうな連絡方法なんて、他にはそうない……
依頼主はお父さんに手紙で依頼の連絡してきたのよ！",,,,,,,,,,封筒,296,右,,,
3クリック目,毛利小五郎,"ああ、そうだ……手紙に、会って依頼をしたいと書いてあったんだ…
……思い出してきたぞ！",,,,2,毛利小五郎,4,,,,,,,,,
4クリック目,田辺順平,遅くなりました、毛利さん！　水を買ってきましたぞ！,,,,,,,1,田辺順平,43,,,右：非表示,,,
5クリック目,毛利小五郎,"そうか！
このじいさんがオレに手紙で会いたいと言ってきたんだ！",,,,,,,,,,,,,,,
6クリック目,田辺順平,"ええ、そうですが……
もしや、先ほどまでのことをお忘れですか？",,,,,,,,,,,,,,,
7クリック目,毛利蘭,すみません、お酒を飲んだら全部忘れちゃったみたいで……,13,毛利蘭,8,,,,,,,,,,,,
8クリック目,毛利蘭,"申し訳ありませんが…
もう一度依頼の内容を教えてもらえませんか？",,,,,,,,,,,,,,,
9クリック目,田辺順平,いやいや、もう依頼はしっかりと果たしていただきましたぞ！,,,,,,,,,,,,,,,
10クリック目,田辺順平,"ワシの依頼は
眠りの小五郎が実際に寝ているところを見ることですからな！
道路で大の字になった見事な眠りっぷりでしたぞ！",,,,,,,,,,,,,,,
11クリック目,毛利蘭,ああ、なるほど……,3,毛利蘭,8,,,,,,,,,,,,
12クリック目,毛利小五郎,"なんだ、解決してたのか……これが名探偵の手腕だ……
ナーハッハッハ……うぷッ！",,,,26,毛利小五郎,4,,,,,,,,,
