調査依頼ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O,ユーザー操作,吹き出し位置,画面表示間隔（秒）,指画像,エフェクト
1クリック目,江戸川コナン,"ここでは持っているカードを確認したり、
デッキ編集することができるよ！",2,江戸川コナン,3,,,,,,,,,,,,,,上,1,,
2クリック目,江戸川コナン,「デッキ編集」をタッチしてね！,,,,,,,,,,,,,,,,"デッキ編集ボタン
タッチ",上,,左上向き,指拡縮＋マスク
3クリック目,江戸川コナン,"捜査で使用するカードをセットするんだ！
デッキは最大5つまでセットできるよ！",,,,,,,,,,,,,,,,,下,,,
4クリック目,江戸川コナン,デッキにセットしたカードをデッキから外す時は、セットされているカードをタッチするとデッキから外すことができるよ！,,,,,,,,,,,,,,,,,下,,,
5クリック目,江戸川コナン,"次は「所持カード」について説明するよ！
「戻る」をタッチしてね！",,,,,,,2,江戸川コナン,3,,,,,,,"戻るボタン
タッチ",下,,左上向き,指拡縮＋マスク
6クリック目,江戸川コナン,「所持カード」をタッチしてね！,2,江戸川コナン,3,,,,,,,,,,,,,所持カードタッチ,上,,左上向き,指拡縮＋マスク
7クリック目,江戸川コナン,持っているカードを確認できるんだ！,,,,,,,,,,,,,,,,,上,1,,
8クリック目,江戸川コナン,"ここをタッチすると、
カードの順番を変えることが出来るよ！",,,,,,,,,,,,,,,,,下,,,フィルタ以外マスク
9クリック目,江戸川コナン,"最後に「図鑑」について説明するよ！
「戻る」をタッチしてね！",,,,,,,2,江戸川コナン,3,,,,,,,"戻るボタン
タッチ",下,,左上向き,指拡縮＋マスク
10クリック目,江戸川コナン,「図鑑」をタッチしてね！,2,江戸川コナン,3,,,,,,,,,,,,,"図鑑ボタン
タッチ",上,,左上向き,指拡縮＋マスク
11クリック目,江戸川コナン,"手に入れたことがあるカードが表示されるよ！
全部集めてコンプリートを目指そう！",,,,,,,2,江戸川コナン,3,,,,,,,,上,,,
