調査依頼ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O,ユーザー操作,吹き出し位置,画面表示間隔（秒）,指画像,エフェクト
1クリック目,江戸川コナン,物証が見つかったね！最後は推理だよ！,2,江戸川コナン,3,,,,,,,,,,,,,,上,1,,
2クリック目,江戸川コナン,"物証を使って、犯人に自白させるんだ！
「推理」をタッチしてね！",,,,,,,,,,,,,,,,"推理ボタン
タッチ",上,,左上向き,指拡縮＋マスク
3クリック目,自由操作,,,,,,,,,,,,,,,,,,,,,
4クリック目,江戸川コナン,"事件が起きた時に犯行現場にいた容疑者が、使っていたものだよ！
ストーリーを思い出して、物証を選ぶんだ！",2,江戸川コナン,3,,,,,,,,,,,,,,下,1,,物証部分以外マスク
5クリック目,江戸川コナン,"たしか、醤油のパックに穴が開けられてたな…
この中で穴が開けられるのは…",13,江戸川コナン,3,,,,,,,,,,,,,,下,,,
6クリック目,江戸川コナン,"針がついている「注射器」だね！
「注射器」をタッチしてね！",2,江戸川コナン,3,,,,,,,,,,,,,"注射器
タッチ",下,1,左上向き,指拡縮＋注射器以外マスク
7クリック目,江戸川コナン,物証を選んだら、「次へ」をタッチしてね！,,,,,,,,,,,,,,,,"次へ
タッチ",上,1,左上向き,指拡縮＋マスク
8クリック目,江戸川コナン,"推理にも虫眼鏡を1つ使うよ！
今回は特別に虫眼鏡を消費しないで推理するね！",,,,,,,,,,,,,,,,,上,1,,
9クリック目,江戸川コナン,これで良ければ、「はい」をタッチするんだ！,,,,,,,,,,,,,,,,"はい
タッチ",上,,左上向き,指拡縮＋マスク
10クリック目,江戸川コナン,"推理成功だね！犯人を捕まえたよ！
事件を解決すると報酬をもらえることがあるよ！",,,,,,,2,江戸川コナン,3,,,,,,,,上,1,,依頼報酬以外マスク
11クリック目,江戸川コナン,最後に、「エンディング」をタッチしてね！,2,江戸川コナン,3,,,,,,,,,,,,,"エンディング
タッチ",上,1,左上向き,指拡縮＋マスク
12クリック目,自由操作,,,,,,,,,,,,,,,,,,,,,
13クリック目,江戸川コナン,おめでとう！事件を解決したね！,,,,,,,24,江戸川コナン,3,,,,,,,,上,1,,
14クリック目,江戸川コナン,解決した事件は、こんな風に表示されるよ！,,,,,,,2,江戸川コナン,3,,,,,,,,上,,,事件1以外マスク
15クリック目,江戸川コナン,早速、新しい事件が起きたみたいだね！,,,,,,,,,,,,,,,,,上,,,事件2以外マスク
16クリック目,江戸川コナン,たくさん事件を解決して名探偵を目指そう！,,,,,,,12,江戸川コナン,3,,,,,,,,上,,,
17クリック目,江戸川コナン,操作に困った時は、ここをタッチしてね！,,,,,,,24,江戸川コナン,3,,,,,,,,上,,,？ボタン以外マスク
18クリック目,江戸川コナン,"そういえば、さっきの事件解決の報酬で、
「ガチャチケット」が手に入ったね！",,,,,,,25,江戸川コナン,3,,,,,,,,上,,,
19クリック目,江戸川コナン,"「ガチャチケット」を使って、
新しいカードをゲットしよう！",,,,,,,24,江戸川コナン,3,,,,,,,,上,,,
20クリック目,江戸川コナン,「ガチャ」をタッチしてね！,,,,,,,2,江戸川コナン,3,,,,,,,"ガチャメニューボタン
タッチ",上,,,指拡縮＋マスク
