調査依頼ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O,ユーザー操作,吹き出し位置,画面表示間隔（秒）,指画像,エフェクト
1クリック目,江戸川コナン,訓練では、捜査の練習をすることができるんだ！,2,江戸川コナン,3,,,,,,,,,,,,,,下,1,,
2クリック目,江戸川コナン,まずは、研究所をタッチしてね！,,,,,,,,,,,,,,,,"研究所
タッチ",下,,左上向き,指拡縮＋マスク
3クリック目,江戸川コナン,捜査条件が表示されるよ！,,,,,,,,2,江戸川コナン,3,,,,,,,下,1,,レベル選択のLv1以外マスク
4クリック目,江戸川コナン,"訓練をするにはハートが1個必要なんだ！
ハートは10個持っていて、毎日1回全回復するよ！",,,,,,,,,,,,,,,,,下,,,ハート消費個数以外マスク
5クリック目,江戸川コナン,"訓練をたくさんクリアすると、次のレベルが解放されるんだ！
レベルが高いほど捜査条件は難しくなるよ！",,,,,,,,,,,,,,,,,下,,,
6クリック目,江戸川コナン,"クリアする毎にカードがもらえるよ！
挑戦した訓練のレベルが高いとレアなカードがもらえる確率が高くなるよ！",2,江戸川コナン,3,,,,,,,,,,,,,,下,,,訓練報酬以外マスク
7クリック目,江戸川コナン,"ここから先の操作方法は、事件と同じだよ！
最後にミッションについて説明するから、
「戻る」をタッチしてね！",,,,,,,,2,江戸川コナン,3,,,,,,"戻るボタン
タッチ",下,,左上向き,指拡縮＋マスク
8クリック目,江戸川コナン,"ミッションは各ステージのクリア回数に応じて、
もらえる報酬だよ！",2,江戸川コナン,3,,,,,,,,,,,,,,上,1,,
9クリック目,江戸川コナン,"ここをタッチすると、ミッションの内容と報酬が
確認できるんだ！",,,,,,,,,,,,,,,,"ミッションボタン
タッチ",上,,左上向き,指拡縮＋マスク
10クリック目,江戸川コナン,"たくさん訓練をして、ミッションをクリアしていくと、
豪華な報酬がもらえるよ！",,,,,,,,,,,,,,,,,上,1,,ミッションポップアップ以外マスク
11クリック目,江戸川コナン,報酬をゲットして、もっと事件を解決しよう！,,,,,,,,,,,,,,,,,上,,,ミッションポップアップ以外マスク
